Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Status
mattress-world-storage-base---standard,Storage Base - Standard,"<h3>Storage Base - Standard</h3>
<p><strong>Manufacturer:</strong> Mattress World<br/>
<strong>Range:</strong> Orthopedic Collection</p>
<h4>Features & Specs:</h4>
<ul>
  <li>Heavy Duty 7 Slat Design</li>
  <li>Cup Legs</li>
  <li>Textile Fabric</li>
  <li>120kg Per Person Per Side</li>
  <li>Prices Standard Length :</li>
  <li>Single – R 2799</li>
  <li>Three Quarter – R 2999</li>
  <li>Double – R 3299</li>
</ul>
",Mattress World,Furniture > Beds & Accessories > Mattresses,Bed Bases,"Mattress World, Orthopedic Collection",TRUE,Size,Standard,Length,Standard (188cm),Configuration,Standard,mattress-world-storage-base---standard-1,50000,,100,continue,manual,2799,,TRUE,TRUE,,https://wondrous-baklava-e13b07.netlify.app/assets/products/mattress_world_Universal_Heavy-Duty_Base_Clean.jpg,1,Storage Base - Standard,FALSE,Storage Base - Standard,Storage Base - Standard by Mattress World. Official Orthopedic Collection collection.,active
mattress-world-storage-base---premier,Storage Base - Premier,"<h3>Storage Base - Premier</h3>
<p><strong>Manufacturer:</strong> Mattress World<br/>
<strong>Range:</strong> Orthopedic Collection</p>
<h4>Features & Specs:</h4>
<ul>
  <li>Heavy Duty 7 Slat Design</li>
  <li>Steel Legs for Extra Support</li>
  <li>Luxury Textile Fabric</li>
  <li>120kg Per Person Per Side</li>
  <li>Prices Standard Length :</li>
  <li>Single – R2999</li>
  <li>Three Quarter – R3499</li>
  <li>Double – R3899</li>
</ul>
",Mattress World,Furniture > Beds & Accessories > Mattresses,Bed Bases,"Mattress World, Orthopedic Collection",TRUE,Size,Standard,Length,Standard (188cm),Configuration,Standard,mattress-world-storage-base---premier-1,50000,,100,continue,manual,2999,,TRUE,TRUE,,https://wondrous-baklava-e13b07.netlify.app/assets/products/mattress_world_Universal_Heavy-Duty_Base_Clean.jpg,1,Storage Base - Premier,FALSE,Storage Base - Premier,Storage Base - Premier by Mattress World. Official Orthopedic Collection collection.,active
mattress-world-universal-heavy-duty-base,Universal Heavy Duty Base,"<h3>Universal Heavy Duty Base</h3>
<p><strong>Manufacturer:</strong> Mattress World<br/>
<strong>Range:</strong> Orthopedic Collection</p>
<h4>Features & Specs:</h4>
<ul>
  <li>Heavy Duty 7 Slat Design</li>
  <li>6 Legs for Extra Support</li>
  <li>Luxury Textile Fabric</li>
  <li>120kg Per Person Per Side</li>
  <li>Prices Standard Length :</li>
  <li>Single – R999</li>
  <li>Three Quarter – R1099</li>
  <li>Double – R1499</li>
</ul>
",Mattress World,Furniture > Beds & Accessories > Mattresses,Bed Bases,"Mattress World, Orthopedic Collection",TRUE,Size,Standard,Length,Standard (188cm),Configuration,Standard,mattress-world-universal-heavy-duty-base-1,50000,,100,continue,manual,999,,TRUE,TRUE,,https://wondrous-baklava-e13b07.netlify.app/assets/products/mattress_world_Universal_Heavy-Duty_Base_Clean.jpg,1,Universal Heavy Duty Base,FALSE,Universal Heavy Duty Base,Universal Heavy Duty Base by Mattress World. Official Orthopedic Collection collection.,active
cloud-nine-slow-motion-adjustable-bed-set,Slow Motion Adjustable Bed Set,"<h3>Slow Motion Adjustable Bed Set</h3>
<p><strong>Manufacturer:</strong> Cloud Nine<br/>
<strong>Range:</strong> Slow Motion</p>
<h4>Official Product Links & Guidelines:</h4>
<ul>
  <li><a href=""https://www.bedsonline.co.za/product/cloud-nine-slomotion-king/?gad_source=1&gad_campaignid=23059240524&gbraid=0AAAAADim7kX1qRfoUgl1u9YtbYZwIoFEv&gclid=Cj0KCQjwsMLSBhD9ARIsAIpUTDr5xEUjUE5mXHEZDsShCaSSqjCRJ3dpumIzs3vJuy_NFb8X48LVVYEaAt15EALw_wcB"" target=""_blank"" rel=""noopener noreferrer"">https://www.bedsonline.co.za/product/cloud-nine-slomotion-king/?gad_source=1&gad_campaignid=23059240524&gbraid=0AAAAADim7kX1qRfoUgl1u9YtbYZwIoFEv&gclid=Cj0KCQjwsMLSBhD9ARIsAIpUTDr5xEUjUE5mXHEZDsShCaSSqjCRJ3dpumIzs3vJuy_NFb8X48LVVYEaAt15EALw_wcB</a></li>
  <li><a href=""https://cloudnine.co.za/slomotion/"" target=""_blank"" rel=""noopener noreferrer"">https://cloudnine.co.za/slomotion/</a></li>
</ul>
",Cloud Nine,Furniture > Beds & Accessories > Mattresses,Beds & Mattresses,"Cloud Nine, Slow Motion",TRUE,Size,Standard,Length,Standard (188cm),Configuration,Standard,cloud-nine-slow-motion-adjustable-bed-set-1,50000,,100,continue,manual,100000,,TRUE,TRUE,,https://wondrous-baklava-e13b07.netlify.app/assets/products/cloud_nine_Cloud-Nine-SloMotion-King-Set.png,1,Slow Motion Adjustable Bed Set,FALSE,Slow Motion Adjustable Bed Set,Slow Motion Adjustable Bed Set by Cloud Nine. Official Slow Motion collection.,active
cloud-nine-ergomax-bed-set,Ergomax Bed Set,"<h3>Ergomax Bed Set</h3>
<p><strong>Manufacturer:</strong> Cloud Nine<br/>
<strong>Range:</strong> Strandmattress</p>
<h4>Official Product Links & Guidelines:</h4>
<ul>
  <li><a href=""https://www.bedsonline.co.za/product/strandmattress-ergomax-medium-firm-queen/"" target=""_blank"" rel=""noopener noreferrer"">https://www.bedsonline.co.za/product/strandmattress-ergomax-medium-firm-queen/</a></li>
</ul>
",Cloud Nine,Furniture > Beds & Accessories > Mattresses,Beds & Mattresses,"Cloud Nine, Strandmattress",TRUE,Size,Single (91cm),Length,Standard (188cm),Configuration,Bed Set,cloud-nine-ergomax-bed-set-1,50000,,100,continue,manual,3059,,TRUE,TRUE,,https://wondrous-baklava-e13b07.netlify.app/assets/products/cloud_nine_Strandmattress_Ergomax_Bed_Set.png,1,Ergomax Bed Set,FALSE,Ergomax Bed Set,Ergomax Bed Set by Cloud Nine. Official Strandmattress collection.,active
cloud-nine-ergomax-bed-set,,,,Furniture > Beds & Accessories > Mattresses,,"Cloud Nine, Strandmattress",TRUE,Size,Three Quarter (107cm),Length,Standard (188cm),Configuration,Bed Set,cloud-nine-ergomax-bed-set-2,50000,,100,continue,manual,3479,,TRUE,TRUE,,,,,FALSE,Ergomax Bed Set,Ergomax Bed Set by Cloud Nine. Official Strandmattress collection.,active
cloud-nine-ergomax-bed-set,,,,Furniture > Beds & Accessories > Mattresses,,"Cloud Nine, Strandmattress",TRUE,Size,Double (137cm),Length,Standard (188cm),Configuration,Bed Set,cloud-nine-ergomax-bed-set-3,50000,,100,continue,manual,4099,,TRUE,TRUE,,,,,FALSE,Ergomax Bed Set,Ergomax Bed Set by Cloud Nine. Official Strandmattress collection.,active
cloud-nine-ergomax-bed-set,,,,Furniture > Beds & Accessories > Mattresses,,"Cloud Nine, Strandmattress",TRUE,Size,Queen (152cm),Length,Standard (188cm),Configuration,Bed Set,cloud-nine-ergomax-bed-set-4,50000,,100,continue,manual,4459,,TRUE,TRUE,,,,,FALSE,Ergomax Bed Set,Ergomax Bed Set by Cloud Nine. Official Strandmattress collection.,active
cloud-nine-ergomax-bed-set,,,,Furniture > Beds & Accessories > Mattresses,,"Cloud Nine, Strandmattress",TRUE,Size,Single (91cm),Length,Standard (188cm),Configuration,Mattress Only,cloud-nine-ergomax-bed-set-5,50000,,100,continue,manual,1809,,TRUE,TRUE,,,,,FALSE,Ergomax Bed Set,Ergomax Bed Set by Cloud Nine. Official Strandmattress collection.,active
cloud-nine-ergomax-bed-set,,,,Furniture > Beds & Accessories > Mattresses,,"Cloud Nine, Strandmattress",TRUE,Size,Three Quarter (107cm),Length,Standard (188cm),Configuration,Mattress Only,cloud-nine-ergomax-bed-set-6,50000,,100,continue,manual,2059,,TRUE,TRUE,,,,,FALSE,Ergomax Bed Set,Ergomax Bed Set by Cloud Nine. Official Strandmattress collection.,active
